Category,Sub_Category,Machine,Model,Product_Code,Product_Name,Unit,Qty,Part_Number,Brand,Product_Type,Import_Type,Country_Of_Orgin,Serial_NO,Store,Rack,Bin,Status
,,,,1703400,Timing Belt- 1520x8mx20mm,Pcs,2,,,,,,,TTML,,,
,,,,1702338,V- Belt - XPA-2310,Pcs,1,,,,,,,TTML,,,
,,,,1702401,Flat Belt-1465x15x2mm,Pcs,1,,,,,,,TTML,,,
,,,,1702402,Flat Belt-1014x20x1.25mm,Pcs,1,,,,,,,TTML,,,
,,,,1702403,Flat Belt-550x15x1.25mm,Pcs,1,,,,,,,TTML,,,
,,,,,Metal Rop SL-42,Pcs,1,,,,,,,TTML,,,
,,,,,Droffer wire N-4030BX0.9-B,set ,5,,,,,,,TTML,,,
,,,,,Droffer wire TC11 (Graf),,,,,,,,,TTML,,,
,,,,,Droffer wire (MKS) Geron,set ,1,,,,,,,TTML,,,
,,,,,Licker in wire (Brusas) MK5C/D,kg,24,,,,,,,TTML,,,
,,,,,Licker in wire (Brusas) MK5C/D,kg,24,,,,,,,TTML,,,
,,,,,Droffer wire MK5  C/D Brujas,kg,24,,,,,,,TTML,,,
,,,,,Flat Top (Geron),set ,2,,,,,,,TTML,,,
,,,,,Stationary Flat BssT-14,Pcs,4,,,,,,,TTML,,,
,,,,,Stationary Flat BssT-24,pcs,3,,,,,,,TTML,,,
,,,,,Stationary Flat BssT-55,pcs,12,,,,,,,TTML,,,
,,,,,Clining Filet (MK5C/D) TC11,set ,2,,,,,,,TTML,,,
,,,,,Stationary Flat BssT SL-37TS-320,Pcs,6,,,,,,,TTML,,,
,,,,,Stationary Flat 660 DQ,Pcs,4,,,,,,,TTML,,,
,,,,,Stationary Flat DQ660 MK 5/D,Pcs,4,,,,,,,TTML,,,
,,,,,Stationary Flat DH 140 MK 5C/D,Pcs,8,,,,,,,TTML,,,
,,,,,Stionary Flat YF 60 MK 5 C/D,Pcs,24,,,,,,,TTML,,,
,,,,,Knife TC15,Pcs,2,,,,,,,TTML,,,
,,,,,Knife TC11,Pcs,2,,,,,,,TTML,,,
,,,,,Scraper Blade TC 11,Pcs,2,,,,,,,TTML,,,
,,,,,Scraper Blade TC 15,Pcs,1,,,,,,,TTML,,,
,,,,,PVC Band SL 84 TC11,Pcs,2,,,,,,,TTML,,,
,,,,,PVC Band  TC15,Pcs,2,,,,,,,TTML,,,
,,,,,Stationary Flat FD 55 (Graf),Pcs,60,,,,,,,TTML,,,
,,,,,Stationary Flat FD 32 (Graf),Pcs,26,,,,,,,TTML,,,
,,,,,Stationary Flat FD 24(Graf),Pcs,58,,,,,,,TTML,,,
,,,,,Clinning Flate TR-A-P,Mtr,117,,,,,,,TTML,,,
,,,,,Feed Roller 40'' MK 5 C ( Crosrol),pcs,2,,,,,,,TTML,,,
,,,,,Cylinder Under casing MK 5 C Crosrol,pcs,3,,,,,,,TTML,,,
,,,,,Trush Knif MK 5 C (Crosrol),pcs,9,,,,,,,TTML,,,
,,,,,Takerin Under Casing  MK 5 C/D,pcs,3,,,,,,,TTML,,,
,,,,,Cylinder Under casing FA201 ,pcs,1,,,,,,,TTML,,,
,,,,,Takerin Roller ,pcs,,,,,,,,TTML,,,
,,,,,M.S. Rev Flat Bar ,pcs,8,,,,,,,TTML,,,
1700000,,,,1710109,Input Pully Q120,pcs,12,P/N-JV-3543012 (MK 5C),,,,,,TTML,,,
,,,,1710077,Reduce Gear Box ,pcs,1,P/N-556839 (MK 5C/D),,,,,,TTML,,,
