Category,Sub_Category,Machine,Model,Product_Code,Product_Name,Unit,Qty,Part_Number,Brand,Product_Type,Import_Type,Country_Of_Orgin,Serial_NO,Store,Rack,Bin,Status
,,,,,M.S. Rev Flat Bar ,pcs,8,,,,,,,TTML,,,
1700000,,,,17.10.109,Input Pully Q120,pcs,12,P/N-JV-3543012 (MK 5C),,,,,,TTML,,,
,,,,17.10.077,Reduce Gear Box ,pcs,1,P/N-556839 (MK 5C/D),,,,,,TTML,,,
,,,,17.10.111,Motor Pully Dia=200mm,pcs,1,P/N-JV- 12820/1  MK 5 C/D,,,,,,TTML,,,
,,,,17.10.110,Pully Dia= 120mm Deler  input,pcs,1,P/N- JV-35440/1 MK 5C/D,,,,,,TTML,,,
,,,,,Spoket with Adaptor MK 5C/D,pcs,1,,,,,,,TTML,,,
,,,,17.10.052,Spoket wheel -50Teeth,pcs,1,P/N- JV-4073E-2 MK 5C/D,,,,,,TTML,,,
,,,,17.10.051,Spoket wheel -38Teeth,pcs,1,P/N-JV-4073E-3 MK 5C/D,,,,,,TTML,,,
,,,,17.10.051,Coupling (MK5C/D,pcs,2,,,,,,,TTML,,,
,,,,17.10.059,Support wheel ,pcs,1,P/N-JV-522 E1 MK 5C/D,,,,,,TTML,,,
,,,,17.10.076,Screw Adjusting SM-691-21 MK 5C/D,pcs,8,(P/N-JV68996-1) MK5C/D,,,,,,TTML,,,
,,,,,Bush,pcs,2,,,,,,,TTML,,,
,,,,,Flyer Drive Gear -34Teeth(Ride side),pcs,18,,,,,,,TTML,,,
,,,,,Flyer Drive Gear -34Teeth(Left side),pcs,20,,,,,,,TTML,,,
,,,,,Coupling Front Roller,pcs,2,,,,,,,TTML,,,
,,,,,Slide,pcs,4,,,,,,,TTML,,,
,,,,,Bobbin Drive Gear 34T L- Side,pcs,10,,,,,,,TTML,,,
,,,,,Bobbin Drive Gear 34T R- Side,pcs,13,,,,,,,TTML,,,
,,,,,Helical gear Line Shape-35T Ride side,pcs,3,,,,,,,TTML,,,
,,,,,Coupling for Con Drum,pcs,4,,,,,,,TTML,,,
,,,,17.16.015,Helical Gear-33Teeth,Pcs,2,,,,,,,,,,
,,,,17.16.053,Cone Drum Plug,Pcs,3,,,,,,,,,,
,,,,,Helical Gear-33Teeth,Pcs,1,,,,,,,,,,
,,,,,Spoket wheel -19Teeth,Pcs,2,,,,,,,,,,
,,,,,MANDREL,Pcs,4,,,,,,,,,,
,,,,,P/N-2515A,,,,,,,,,,,,
,,,,,Slide Front Side ,Pcs,5,,,,,,,,,,
,,,,17.16.002,Helical Gear-21Teeth,Pcs,6,,,,,,,,,,
,,,,17.16.030,Worm Gear with Shaft -6round,Pcs,1,,,,,,,,,,
,,,,,Gear -29Teeth,Pcs,1,,,,,,,,,,
,,,,17.16.001,Helical Gear -20Teeth ,Pcs,5,,,,,,,,,,
,,,,,Slide for Chain,Pcs,2,,,,,,,,,,
,,,,,Timing Pully -46Teeth,Pcs,1,,,,,,,,,,
,,,,,Fiber Helical Gear -94Teeth,Pcs,2,,,,,,,,,,
,,,,,Braket for Bobbin Rail End side,Pcs,1,,,,,,,,,,
,,,,,Braket for Bobbin Rail Gear ,Pcs,1,,,,,,,,,,
,,,,,Helical Gear with shaft for Defencial G,Pcs,2,,,,,,,,,,
,,,,17.16.042,Fiber Helical Gear -91Teeth,Pcs,2,,,,,,,,,,
,,,,,Shaft,Pcs,3,,,,,,,,,,
,,,,,Top Con Drum Shaft Dia-40x300mm,Pcs,1,,,,,,,,,,
,,,,,Roller Stand,Pcs,6,,,,,,,,,,
,,,,,Bush for Bobbin,Pcs,20,,,,,,,,,,
,,,,,Fiber Gear Hub Assy,Pcs,1,,,,,,,,,,
,,,,,Double Anchor Bar,Pcs,2,,,,,,,,,,
,,,,,Worm Gear -60Teeth,Pcs,1,,,,,,,,,,
,,,,,worm Gear-50Teeth,Pcs,2,,,,,,,,,,
,,,,,Presser Bar ,Pcs,2,,,,,,,,,,
,,,,,Front Roller Bottom,Pcs,5,,,,,,,,,,
